isinla,councildist,lat,lng,city,state,deptnum,deptname,employeecount,gross
FALSE,,34.2694474,-118.781482,Simi Valley,CA,38,Fire,1,187308.11
FALSE,,34.469994,-118.1967418,Acton,CA,04,Airports,3,357849.85
FALSE,,34.469994,-118.1967418,Acton,CA,06,Animal Services,1,83338.62
FALSE,,34.469994,-118.1967418,Acton,CA,08,Building and Safety,6,733398.66
FALSE,,34.469994,-118.1967418,Acton,CA,28,Council,1,21117.2
FALSE,,34.469994,-118.1967418,Acton,CA,32,Information Technology Agency,2,136950.7
FALSE,,34.469994,-118.1967418,Acton,CA,38,Fire,14,2971624.29
FALSE,,34.469994,-118.1967418,Acton,CA,40,General Services,2,62567.17
FALSE,,34.469994,-118.1967418,Acton,CA,42,Harbor,1,70736.49
FALSE,,34.469994,-118.1967418,Acton,CA,70,Police,51,7136744.36
FALSE,,34.469994,-118.1967418,Acton,CA,76,Public Works - Contract Administration,2,149611.5
FALSE,,34.469994,-118.1967418,Acton,CA,82,Public Works - Sanitation,3,322970.17
FALSE,,34.469994,-118.1967418,Acton,CA,86,Public Works - Street Services,1,14472.56
FALSE,,34.469994,-118.1967418,Acton,CA,87,Zoo,3,181775.46
FALSE,,34.469994,-118.1967418,Acton,CA,88,Recreation and Parks,4,94128.46
FALSE,,34.5827699,-117.409215,Adelanto,CA,04,Airports,2,162670.3
FALSE,,34.5827699,-117.409215,Adelanto,CA,70,Police,1,89917.35
FALSE,,34.5827699,-117.409215,Adelanto,CA,82,Public Works - Sanitation,3,273160.98
FALSE,,34.5827699,-117.409215,Adelanto,CA,86,Public Works - Street Services,1,116030.78
FALSE,,34.5827699,-117.409215,Adelanto,CA,88,Recreation and Parks,1,2697.47
FALSE,,34.1541205,-118.7573324,Agoura,CA,38,Fire,3,552765.01
FALSE,,34.1541205,-118.7573324,Agoura,CA,74,Public Works - Board of Public Works,1,127407.53
FALSE,,34.1541205,-118.7573324,Agoura,CA,82,Public Works - Sanitation,1,136456.72
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,04,Airports,1,117436.55
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,08,Building and Safety,1,187853.19
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,12,City Attorney,3,277731.73
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,38,Fire,5,1115480.42
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,40,General Services,2,314381.68
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,43,Los Angeles Housing,2,182506.57
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,44,Library,3,43737.88
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,68,City Planning,1,62995.28
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,70,Police,10,1490641.97
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,76,Public Works - Contract Administration,1,145067.84
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,78,Public Works - Engineering,1,145412.57
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,86,Public Works - Street Services,1,32148.32
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,87,Zoo,2,83019.53
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,88,Recreation and Parks,1,4904.2
FALSE,,34.1533395,-118.7616764,Agoura Hills,CA,94,Transportation,2,117057.92
FALSE,,34.4963817,-118.3256348,Agua Dulce,CA,04,Airports,1,134915.13
FALSE,,34.4963817,-118.3256348,Agua Dulce,CA,08,Building and Safety,2,244814.63
FALSE,,34.4963817,-118.3256348,Agua Dulce,CA,38,Fire,9,2128149.83
FALSE,,34.4963817,-118.3256348,Agua Dulce,CA,40,General Services,1,170572.84
FALSE,,34.4963817,-118.3256348,Agua Dulce,CA,44,Library,1,72586.82
FALSE,,34.4963817,-118.3256348,Agua Dulce,CA,66,Personnel,1,45601.07
FALSE,,34.4963817,-118.3256348,Agua Dulce,CA,70,Police,10,1593663.27
FALSE,,34.4963817,-118.3256348,Agua Dulce,CA,82,Public Works - Sanitation,1,53297.84
FALSE,,33.5604168,-81.7195533,Aiken,SC,38,Fire,1,222597.09
FALSE,,35.0843859,-106.650422,Albuquerque,NM,88,Recreation and Parks,1,1172.94
FALSE,,34.095287,-118.1270146,Alhambra,CA,02,Aging,1,4711.65
FALSE,,34.095287,-118.1270146,Alhambra,CA,04,Airports,20,1995868.74
FALSE,,34.095287,-118.1270146,Alhambra,CA,06,Animal Services,5,350230.39
FALSE,,34.095287,-118.1270146,Alhambra,CA,08,Building and Safety,20,1718537.72
FALSE,,34.095287,-118.1270146,Alhambra,CA,10,City Administrative Officer,4,608233.2
FALSE,,34.095287,-118.1270146,Alhambra,CA,12,City Attorney,14,1793967.17
FALSE,,34.095287,-118.1270146,Alhambra,CA,14,City Clerk,3,84614.32
FALSE,,34.095287,-118.1270146,Alhambra,CA,16,City Employees Retirement System,7,622951.08
FALSE,,34.095287,-118.1270146,Alhambra,CA,21,Community Investment for Families Department,1,26841.6
FALSE,,34.095287,-118.1270146,Alhambra,CA,26,Controller,1,157448.48
FALSE,,34.095287,-118.1270146,Alhambra,CA,28,Council,5,555519.02
FALSE,,34.095287,-118.1270146,Alhambra,CA,30,Cultural Affairs,2,77198.14
FALSE,,34.095287,-118.1270146,Alhambra,CA,32,Information Technology Agency,14,1334095.44
FALSE,,34.095287,-118.1270146,Alhambra,CA,38,Fire,14,1742787.58
FALSE,,34.095287,-118.1270146,Alhambra,CA,39,Office of Finance,9,930027.24
FALSE,,34.095287,-118.1270146,Alhambra,CA,40,General Services,14,1118506.93
FALSE,,34.095287,-118.1270146,Alhambra,CA,43,Los Angeles Housing,15,1020252.47
FALSE,,34.095287,-118.1270146,Alhambra,CA,44,Library,29,1961887.43
FALSE,,34.095287,-118.1270146,Alhambra,CA,46,Mayor,5,285318.8
FALSE,,34.095287,-118.1270146,Alhambra,CA,64,Pension,3,295977.6
FALSE,,34.095287,-118.1270146,Alhambra,CA,66,Personnel,15,1102557.53
FALSE,,34.095287,-118.1270146,Alhambra,CA,68,City Planning,6,383578.45
FALSE,,34.095287,-118.1270146,Alhambra,CA,70,Police,99,11234437.09
FALSE,,34.095287,-118.1270146,Alhambra,CA,74,Public Works - Board of Public Works,3,297512.78
FALSE,,34.095287,-118.1270146,Alhambra,CA,76,Public Works - Contract Administration,6,519115.66
FALSE,,34.095287,-118.1270146,Alhambra,CA,78,Public Works - Engineering,15,1598566.51
